row_id	leaf_nr	scanwidth	level	ret_number	time_load_net	time_sw_load	time_sw_compute	time_sw_canonical	time_panda1	time_panda2	time_panda3	k1	k2	k3
1	20	1	0	0	0.135586719000003	0.00113280100003976	0.00237198699994678	0.000241070000015498	0.00247883800000182	0.00388920800003234	0.00901863599995068	2	10	20
2	20	1	0	0	0.00036776000001737	7.35889999532446E-05	0.000373846999991656	7.79509999802031E-05	0.00097840500006896	0.00341721600000255	0.00905944399994496	2	10	20
3	20	1	0	0	0.000353738000058002	6.58779999866965E-05	0.000361713999950553	7.61260000672337E-05	0.000957963999894673	0.00341810700001588	0.00889339500008646	2	10	20
4	20	1	0	0	0.000351535000049807	6.88769999896977E-05	0.000366979000091305	7.50809999772173E-05	0.000959886000032384	0.00344043499990221	0.00891648300000725	2	10	20
5	20	1	0	0	0.000350363000052312	6.68640000185405E-05	0.000360046999958286	7.71180000356253E-05	0.000985648999972	0.00341337899999417	0.00895121300004576	2	10	20
6	20	1	0	0	0.000341308999963985	6.89149999288929E-05	0.000358172000005652	7.41759999982605E-05	0.00096211699997184	0.00348064800004977	0.00907985499998176	2	10	20
7	20	1	0	0	0.000345803999948657	6.80450000345445E-05	0.000358355999992455	7.76540000515524E-05	0.000971830000025875	0.00345361499989849	0.00899075400002403	2	10	20
8	20	1	0	0	0.000341921999961414	6.95060000452941E-05	0.000362953999911042	7.53400000803595E-05	0.000982765000003383	0.00342970199994852	0.00913017200002741	2	10	20
9	20	1	0	0	0.000339344999929381	6.76160000239179E-05	0.000358063000021502	7.60109999191627E-05	0.00097720600001594	0.00351934700006495	0.00902833599991482	2	10	20
10	20	1	0	0	0.000351969999996982	6.47419999495469E-05	0.00035833900005855	7.40599999744518E-05	0.000962971000035395	0.00336709699990934	0.00899010600005568	2	10	20
11	20	1	0	0	0.000349080000091817	6.57289999708155E-05	0.000361260999966362	7.63210000513936E-05	0.000987409000003936	0.00341202499998872	0.00902098099993509	2	10	20
12	20	1	0	0	0.000343023000027642	6.53480000210038E-05	0.000358265999921059	7.52030000512605E-05	0.000984901000038008	0.00350572599995758	0.00893627400000696	2	10	20
13	20	1	0	0	0.000343406999945728	6.73570000344625E-05	0.000363824000032764	7.70719999536595E-05	0.000963617000024897	0.00341841099998419	0.00891052899999067	2	10	20
14	20	1	0	0	0.000337690000037583	6.32950000181154E-05	0.000354981999976189	7.34310000325422E-05	0.000972400000023299	0.00343497400001525	0.00908356599995841	2	10	20
15	20	1	0	0	0.000342372999966756	6.44560000182537E-05	0.000356866000061018	7.6168999953552E-05	0.00098693600000388	0.00350519599999188	0.00896810599999753	2	10	20
16	20	1	0	0	0.000344014000006609	6.46199999891906E-05	0.000355033000005278	7.57590000830533E-05	0.000970260999906714	0.00343478200011305	0.00896430199998122	2	10	20
17	20	1	0	0	0.000342565999972067	6.76040000371359E-05	0.000354400999981408	7.49069999983476E-05	0.000969155999996474	0.0034375259999706	0.00899185399998714	2	10	20
18	20	1	0	0	0.000363716000038039	6.67350000185252E-05	0.000352822999957425	7.30090000615746E-05	0.000967381000009482	0.00349644699997498	0.00898906899999474	2	10	20
19	20	1	0	0	0.000348084999927778	6.4618999999766E-05	0.000358946000005744	7.42889999401086E-05	0.000978740000050493	0.00341899599993667	0.00901536000003489	2	10	20
20	20	1	0	0	0.000342941999974755	6.47869999284012E-05	0.000359271000093031	7.32709999056169E-05	0.000976919000095222	0.00345107599991934	0.00893729100005203	2	10	20
21	20	1	0	0	0.000342806999924505	6.20409999783078E-05	0.000356341999918186	7.46430000617693E-05	0.00096131600002991	0.00348178799993093	0.00886544600007255	2	10	20
22	20	1	0	0	0.000342154000009032	6.69460000608524E-05	0.000356962999944699	7.59710000011182E-05	0.000966716999982964	0.00343742600000496	0.00905947800004014	2	10	20
23	20	1	0	0	0.000343463000035626	6.64760000290698E-05	0.000362236999990273	7.60620000619383E-05	0.000989695999919604	0.00345520600001237	0.00912694800001646	2	10	20
