row_id	leaf_nr	scanwidth	level	ret_number	time_load_net	time_sw_load	time_sw_compute	time_sw_canonical	time_panda1	time_panda2	time_panda3	k1	k2	k3	diversity1	diversity2	diversity3
1	20	1	0	0	0.13558671900000263	0.0011328010000397626	0.0023719869999467846	0.0002410700000154975	0.002478838000001815	0.0038892080000323404	0.009018635999950675	2	10	20	13.049230782599999	28.992302538109996	33.18148433767
2	20	1	0	0	0.00036776000001736975	7.358899995324464e-05	0.00037384699999165605	7.795099998020305e-05	0.0009784050000689604	0.003417216000002554	0.00905944399994496	2	10	20	9.0178751787	22.962440442022	26.657721912054
3	20	1	0	0	0.0003537380000580015	6.587799998669652e-05	0.00036171399995055253	7.612600006723369e-05	0.0009579639998946732	0.0034181070000158797	0.008893395000086457	2	10	20	6.95291173874	15.146396860664	16.155546217918
4	20	1	0	0	0.0003515350000498074	6.887699998969765e-05	0.00036697900009130535	7.508099997721729e-05	0.0009598860000323839	0.003440434999902209	0.008916483000007247	2	10	20	6.979572446202001	15.324047158172	17.008530571106
5	20	1	0	0	0.0003503630000523117	6.686400001854054e-05	0.0003600469999582856	7.71180000356253e-05	0.0009856489999719997	0.0034133789999941655	0.008951213000045755	2	10	20	10.503381455300001	21.164178889187003	23.211006681874
6	20	1	0	0	0.0003413089999639851	6.891499992889294e-05	0.0003581720000056521	7.417599999826052e-05	0.0009621169999718404	0.0034806480000497686	0.009079854999981762	2	10	20	4.947189465799999	16.87460651343	20.35491035758
7	20	1	0	0	0.0003458039999486573	6.80450000345445e-05	0.0003583559999924546	7.765400005155243e-05	0.000971830000025875	0.003453614999898491	0.008990754000024026	2	10	20	10.881873267700001	23.64749247399	27.855549768529993
8	20	1	0	0	0.00034192199996141426	6.950600004529406e-05	0.00036295399991104205	7.534000008035946e-05	0.0009827650000033827	0.00342970199994852	0.009130172000027414	2	10	20	9.8142417437	23.53200318335	27.94290741138
9	20	1	0	0	0.0003393449999293807	6.761600002391788e-05	0.0003580630000215024	7.601099991916271e-05	0.00097720600001594	0.003519347000064954	0.009028335999914816	2	10	20	5.16778415283	15.971837849829999	18.40347876756
10	20	1	0	0	0.00035196999999698164	6.474199994954688e-05	0.00035833900005854957	7.405999997445178e-05	0.0009629710000353953	0.003367096999909336	0.008990106000055675	2	10	20	4.23481767393	11.891006175760001	13.51876779239
11	20	1	0	0	0.00034908000009181706	6.57289999708155e-05	0.00036126099996636185	7.632100005139364e-05	0.000987409000003936	0.0034120249999887164	0.009020980999935091	2	10	20	6.11810956657	18.96650782934	22.761814753758
12	20	1	0	0	0.0003430230000276424	6.534800002100383e-05	0.0003582659999210591	7.520300005126046e-05	0.0009849010000380076	0.0035057259999575763	0.00893627400000696	2	10	20	4.847941662	11.87914771265	14.138348642210001
13	20	1	0	0	0.0003434069999457279	6.735700003446254e-05	0.00036382400003276416	7.707199995365954e-05	0.0009636170000248967	0.0034184109999841894	0.008910528999990674	2	10	20	5.004182702300001	15.37032499572	19.28447935742
14	20	1	0	0	0.00033769000003758265	6.329500001811539e-05	0.0003549819999761894	7.343100003254222e-05	0.0009724000000232991	0.003434974000015245	0.00908356599995841	2	10	20	6.59544999909	17.72270655871	20.67316352073
15	20	1	0	0	0.00034237299996675574	6.445600001825369e-05	0.000356866000061018	7.616899995355197e-05	0.0009869360000038796	0.0035051959999918836	0.008968105999997533	2	10	20	9.631356682758	24.337482479569	28.30405045731
16	20	1	0	0	0.0003440140000066094	6.461999998919055e-05	0.00035503300000527815	7.575900008305325e-05	0.0009702609999067136	0.003434782000113046	0.008964301999981217	2	10	20	4.59712065112	12.464271506120001	15.24678568887
17	20	1	0	0	0.0003425659999720665	6.760400003713585e-05	0.00035440099998140795	7.49069999983476e-05	0.0009691559999964738	0.003437525999970603	0.008991853999987143	2	10	20	3.65646601128	10.34288225146	11.748060614869999
